id,name,class,mass (g),mass (kg),fall,year,latitude,longitude,GeoLocation
13871,Lewis Cliff 88118,L6,11.1,0.0111,Found,1988,-84.25183,161.37509,"(-84.25183, 161.37509)"
14230,Lewis Cliff 88486,H5,11.1,0.0111,Found,1988,-84.24922,161.37585,"(-84.24922, 161.37585)"
14281,Lewis Cliff 88540,H6,11.1,0.0111,Found,1988,-84.25034,161.40574,"(-84.25034, 161.40574)"
14161,Lewis Cliff 88416,LL6,11.1,0.0111,Found,1988,-84.23734,161.44746,"(-84.23734, 161.44746)"
13997,Lewis Cliff 88246,L4,11.1,0.0111,Found,1988,-84.23484,161.46594,"(-84.23484, 161.46594)"
4232,Asuka 881523,H5,11.11,0.01111,Found,1988,-72,26,"(-72.0, 26.0)"
1125,Allan Hills 88081,H5,11.14,0.01114,Found,1988,-76.72249,158.7338,"(-76.72249, 158.7338)"
4004,Asuka 881295,H4,11.19,0.01119,Found,1988,-72,26,"(-72.0, 26.0)"
14113,Lewis Cliff 88363,H4,11.2,0.0112,Found,1988,-84.25176,161.38344,"(-84.25176, 161.38344)"
14205,Lewis Cliff 88461,H6,11.2,0.0112,Found,1988,-84.24909,161.38358,"(-84.24909, 161.38358)"
14431,Lewis Cliff 88694,H4,11.2,0.0112,Found,1988,-84.27477,161.39651,"(-84.27477, 161.39651)"
13786,Lewis Cliff 88032,L5,11.2,0.0112,Found,1988,-84.24692,161.45952,"(-84.24692, 161.45952)"
4080,Asuka 881371,Angrite,11.27,0.01127,Found,1988,-72,26,"(-72.0, 26.0)"
2764,Asuka 880055,L6,11.29,0.01129,Found,1988,-72,26,"(-72.0, 26.0)"
1121,Allan Hills 88077,H4,11.3,0.0113,Found,1988,-76.71667,159.33333,"(-76.71667, 159.33333)"
14284,Lewis Cliff 88543,L6,11.3,0.0113,Found,1988,-84.24892,161.36982,"(-84.24892, 161.36982)"
14157,Lewis Cliff 88412,H6,11.3,0.0113,Found,1988,-84.23832,161.43635,"(-84.23832, 161.43635)"
4293,Asuka 881584,LL6,11.32,0.01132,Found,1988,-72,26,"(-72.0, 26.0)"
4047,Asuka 881338,H4,11.33,0.01133,Found,1988,-72,26,"(-72.0, 26.0)"
1123,Allan Hills 88079,H5,11.36,0.01136,Found,1988,-76.71667,159.33333,"(-76.71667, 159.33333)"
4797,Asuka 882088,L,11.37,0.01137,Found,1988,-72,26,"(-72.0, 26.0)"
14128,Lewis Cliff 88379,H5,11.4,0.0114,Found,1988,-84.2384,161.43169,"(-84.2384, 161.43169)"
14172,Lewis Cliff 88427,L6,11.4,0.0114,Found,1988,-84.24292,161.44112,"(-84.24292, 161.44112)"
1126,Allan Hills 88082,H5-6,11.43,0.01143,Found,1988,-76.71667,159.33333,"(-76.71667, 159.33333)"
1122,Allan Hills 88078,H6,11.47,0.01147,Found,1988,-76.71667,159.33333,"(-76.71667, 159.33333)"
3369,Asuka 880660,L6,11.5,0.0115,Found,1988,-72,26,"(-72.0, 26.0)"
14409,Lewis Cliff 88672,L6,11.5,0.0115,Found,1988,-84.26652,161.35724,"(-84.26652, 161.35724)"
14455,Lewis Cliff 88718,L6,11.5,0.0115,Found,1988,-84.2764,161.35768,"(-84.2764, 161.35768)"
13835,Lewis Cliff 88081,H5,11.5,0.0115,Found,1988,-84.25214,161.39776,"(-84.25214, 161.39776)"
